id,last_name,first_name,side,avg_bat_speed,swing_tilt,attack_angle,attack_direction,ideal_attack_angle_rate,avg_intercept_y_vs_plate,avg_intercept_y_vs_batter,avg_batter_y_position,avg_batter_x_position,competitive_swings
656577,Jackson, Alex,R,76.10654465,30.83296122,11.66360233,-8.658998713,0.511627907,4.706719973,35.45003997,30.74332,27.30414027,172
695578,Wood, James,L,76.04559778,39.68235698,11.10130859,1.919168204,0.418853256,1.708581556,32.67824399,30.96966243,30.13312259,1029
575929,Contreras, Willson,R,75.99322208,32.78148699,9.431176301,-1.768573933,0.47300216,5.327616525,27.94332223,22.61570571,30.31233876,926
666624,Morel, Christopher,R,75.97051978,27.26168974,14.92412694,-9.237585659,0.686594203,7.012929108,34.4555858,27.44265669,26.3799758,552
672744,Canario, Alexander,R,75.96625729,35.16700772,13.55575638,1.90548688,0.478971963,0.63626035,28.94967863,28.31341828,27.54464114,428
663609,Baker, Luken,R,75.96578462,28.95888678,10.07958478,-4.969543069,0.676923077,4.721599759,31.35994957,26.63834982,28.84073471,65
680718,Barger, Addison,L,75.92802019,28.80956383,9.064356337,-4.995597267,0.50994152,-1.668247185,31.52878074,33.19702792,25.47178742,855
663586,Riley, Austin,R,75.88710309,32.17117294,10.83940765,-4.470596732,0.45625,6.746037709,35.58461162,28.83857391,28.1656708,800
595751,Alfaro, Jorge,R,75.87675296,35.52687828,3.684986787,6.852939162,0.363636364,-3.921997244,24.48856485,28.41056209,26.49455334,88
660821,Sánchez, Jesús,L,75.85115849,27.8463447,7.114634655,-1.780151318,0.481840194,8.702681116,35.0289374,26.32625628,28.42052651,826
660271,Ohtani, Shohei,L,75.84886769,36.93526828,15.02821985,-2.008836709,0.532637076,-1.390236549,27.59519983,28.98543638,31.93179866,1149
677956,Hinds, Rece,R,75.73545866,37.29856842,13.42305484,-16.26905035,0.365853659,9.398738397,38.43839314,29.03965474,27.63038118,82
673357,Robert Jr., Luis,R,75.61304356,36.5180648,12.16720897,-5.173875268,0.539419087,-0.805152549,30.4836747,31.28882725,27.19569714,723
662139,Varsho, Daulton,L,75.60905042,29.77806208,12.89392187,-3.778196698,0.623893805,-0.819658086,28.05236419,28.87202227,25.99564064,452
682985,Greene, Riley,L,75.60623192,44.61240497,13.87529823,1.234396977,0.435856574,2.154543379,32.03076309,29.87621971,24.65279712,1255
676812,McCusker, Carson,R,75.53328608,39.2619631,15.85419817,-3.722629823,0.392156863,3.681271093,28.53798811,24.85671702,32.64861824,51
694212,Basallo, Samuel,L,75.49435154,29.99472051,9.701025542,-1.612498428,0.58411215,2.358921646,34.13957812,31.78065648,24.5837379,214
663662,Cameron, Daz,R,75.43708387,32.75453319,5.101902391,-7.440148996,0.373333333,5.040051206,31.3045043,26.26445309,27.25945772,75
683002,Henderson, Gunnar,L,75.340721,29.02743471,8.476002763,1.006468976,0.509896324,6.750812129,33.41835339,26.66754126,25.81640532,1061
686948,Baldwin, Drake,L,75.30223199,31.68899223,9.352265242,3.150125453,0.480719794,2.146328564,28.71950172,26.57317316,28.21612681,778
624413,Alonso, Pete,R,75.25677897,33.82423462,10.12020728,1.06115995,0.598411297,3.86557435,28.26339092,24.39781657,27.14281371,1133
663728,Raleigh, Cal,R,75.24004443,34.31089764,17.86166745,-8.218157306,0.451638066,7.496257289,35.95156896,28.45531167,24.49227056,1282
656541,Hilliard, Sam,L,75.23102724,25.41655428,8.839954356,-2.747013497,0.495238095,8.688157892,34.32532243,25.63716454,28.59685321,105
682663,Ramírez, Agustín,R,75.23016891,25.1771252,7.312355851,-2.912382033,0.532275132,2.081142921,30.34310475,28.26196183,30.15480855,945
663624,Mountcastle, Ryan,R,75.20966347,36.01840611,7.36011123,-1.07981275,0.403762663,2.009855335,27.59432565,25.58447032,31.11629861,691
701350,Anthony, Roman,L,75.14686412,30.09726897,10.63929375,-1.327217089,0.527710843,7.054215567,36.03692716,28.98271159,25.38837945,415
671213,Casas, Triston,L,75.12307574,36.01359291,15.02079482,-5.203266042,0.436842105,0.480789515,32.80485392,32.3240644,29.49779483,190
672356,Arias, Gabriel,R,75.07646303,29.07604523,9.727772887,1.203260471,0.536772777,5.266487707,34.41051826,29.14403056,35.60733785,911
621439,Buxton, Byron,R,75.03482925,34.03725896,14.11513205,-6.234144959,0.579229122,4.675556077,28.24010095,23.56454488,27.76455611,934
669065,Stowers, Kyle,L,75.00328463,33.87021868,11.61966649,0.313282329,0.523341523,1.886390119,31.49500449,29.60861437,29.31055679,814
805904,Cole, Zach,L,74.97698205,31.67088895,9.882834995,-1.064539284,0.448717949,3.072122418,24.42394115,21.35181873,29.11788438,78
691373,Garcia, Jhostynxon,R,74.96665714,38.3566399,12.63086765,2.169302136,0.214285714,0.868089288,28.04861637,27.18052708,25.19434334,14
656305,Chapman, Matt,R,74.95186142,25.35009259,5.599078882,-3.834480471,0.53276699,-0.941809092,27.44352837,28.38533746,29.81118849,824
680769,Alexander, CJ,L,74.88126531,36.54697401,12.72002269,-9.381428456,0.5625,1.830714522,35.29055695,33.45984243,28.10395917,32
695600,Jensen, Carter,L,74.87881096,26.57313551,3.46567361,1.755291702,0.416,10.90266243,36.04827806,25.14561563,27.06451926,125
687515,Thomas, Colby,R,74.81545682,28.85992211,11.63833764,-5.030466283,0.55785124,-1.258026476,28.45583212,29.7138586,27.35516137,242
683146,Baty, Brett,L,74.80152152,35.46719957,8.440326356,3.734583716,0.475592748,-3.381122833,26.65933238,30.04045521,30.26433795,717
683357,Caissie, Owen,L,74.78590218,35.1698342,8.232058703,-0.57566436,0.454545455,1.8470416,31.99026888,30.14322728,28.81288326,55
685301,Gorski, Matt,R,74.7819525,31.4575558,16.48881465,-4.392190293,0.4625,7.817759157,37.16367609,29.34591694,27.71808535,80
680776,Duran, Jarren,L,74.78022388,26.55107318,5.566577667,0.181734935,0.444954128,3.164591736,31.71184314,28.5472514,30.50011775,1090
657757,Sheets, Gavin,L,74.77680224,27.54141141,8.395073988,-7.481557753,0.53930131,4.851930976,34.10503837,29.2531074,29.15615902,916
642133,Tellez, Rowdy,L,74.75059242,29.76490242,8.037565856,-7.697074857,0.546534653,7.796770672,35.26274781,27.46597714,25.95007136,505
691723,Mayo, Coby,R,74.73296781,35.56727648,10.83950847,-16.57756273,0.450892857,10.97700857,35.6840161,24.70700753,27.55990414,448
682998,Carroll, Corbin,L,74.65364065,25.73720295,10.98424928,-3.339929701,0.683918669,5.977992254,36.64063315,30.66264089,29.91106559,1082
669394,Burger, Jake,R,74.64652307,24.94584563,7.608357007,-4.090968618,0.533950617,7.866651625,31.55486216,23.68821054,31.76762146,648
606466,Marte, Ketel,R,74.61646095,32.02875953,10.14631908,-7.192869883,0.61492891,6.668725415,36.76531551,30.0965901,22.86616152,844
666211,Trammell, Taylor,L,74.56588069,29.99663044,11.46280063,-4.263178249,0.47706422,0.415145091,30.06398042,29.64883533,26.38564269,218
692585,Fernández, Yanquiel,L,74.53485424,28.60222541,10.5660541,-11.41969578,0.555172414,9.196154199,36.38487821,27.18872402,27.68785496,290
666464,Encarnacion, Jerar,R,74.52567286,38.39498681,10.92034411,1.041291029,0.5,4.247235193,32.0766569,27.8294217,29.0877102,84
592669,Renfroe, Hunter,R,74.51178715,25.60368824,9.071103,-6.667538727,0.642384106,8.184879248,37.0068606,28.82198135,29.13334234,151
